First Name,Last Name,Constituency,Political Affiliation,Honorific Title,Province,Gender,Row,Column,PID,CID
Ziad,Aboultaif,Edmonton Manning,Conservative,,Alberta,M,03,23,89156,8781
Dan,Albas,Central Okanagan—Similkameen—Nicola,Conservative,,British Columbia,M,03,05,72029,8781
Harold,Albrecht,Kitchener—Conestoga,Conservative,,Ontario,M,03,09,35607,8781
John,Aldag,Cloverdale—Langley City,Liberal,,British Columbia,M,03,42,89258,4
Omar,Alghabra,Mississauga Centre,Liberal,,Ontario,M,03,12,89535,4
Leona,Alleslev,Aurora—Oak Ridges—Richmond Hill,Liberal,,Ontario,F,03,32,88671,4
Dean,Allison,Niagara West,Conservative,,Ontario,M,03,14,25446,8781
Rona,Ambrose,Sturgeon River—Parkland,Conservative,Hon.,Alberta,F,03,20,25447,8781
William,Amos,Pontiac,Liberal,,Quebec,M,09,44,89527,4
Gary,Anandasangaree,Scarborough—Rouge Park,Liberal,,Ontario,M,09,45,89449,4
David,Anderson,Cypress Hills—Grasslands,Conservative,,Saskatchewan,M,04,09,1795,8781
Charlie,Angus,Timmins—James Bay,NDP,,Ontario,M,04,41,25470,3
Mel,Arnold,North Okanagan—Shuswap,Conservative,,British Columbia,M,01,15,89294,8781
René,Arseneault,Madawaska—Restigouche,Liberal,,New Brunswick,M,09,47,89383,4
Chandra,Arya,Nepean,Liberal,,Ontario,M,10,02,88860,4
Niki,Ashton,Churchill—Keewatinook Aski,NDP,,Manitoba,F,04,33,36037,3
Robert,Aubin,Trois-Rivières,NDP,,Quebec,M,02,35,71560,3
Ramez,Ayoub,Thérèse-De Blainville,Liberal,,Quebec,M,10,03,88419,4
Vance,Badawey,Niagara Centre,Liberal,,Ontario,M,10,04,88867,4
Larry,Bagnell,Yukon,Liberal,Hon.,Yukon,M,07,47,1796,4
Navdeep,Bains,Mississauga—Malton,Liberal,Hon.,Ontario,M,07,35,25471,4
John,Barlow,Foothills,Conservative,,Alberta,M,01,11,86261,8781
Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois,,Quebec,M,00,40,88422,6
Frank,Baylis,Pierrefonds—Dollard,Liberal,,Quebec,M,10,05,88578,4
Mario,Beaulieu,La Pointe-de-l'Île,Bloc Québécois,,Quebec,M,00,39,376,6
Terry,Beech,Burnaby North—Seymour,Liberal,,British Columbia,M,09,26,89236,4
Carolyn,Bennett,Toronto—St. Paul's,Liberal,Hon.,Ontario,F,07,38,992,4
Sheri,Benson,Saskatoon West,NDP,,Saskatchewan,F,01,34,89090,3
Candice,Bergen,Portage—Lisgar,Conservative,Hon.,Manitoba,F,04,18,59110,8781
Maxime,Bernier,Beauce,Conservative,Hon.,Quebec,M,00,27,35309,8781
Luc,Berthold,Mégantic—L'Érable,Conservative,,Quebec,M,01,17,88541,8781
James,Bezan,Selkirk—Interlake—Eastman,Conservative,,Manitoba,M,04,12,25475,8781
Marie-Claude,Bibeau,Compton—Stanstead,Liberal,Hon.,Quebec,F,07,30,88449,4
Chris,Bittle,St. Catharines,Liberal,,Ontario,M,10,06,88934,4
Daniel,Blaikie,Elmwood—Transcona,NDP,,Manitoba,M,01,32,89032,3
Bill,Blair,Scarborough Southwest,Liberal,,Ontario,M,09,30,88961,4
Rachel,Blaney,North Island—Powell River,NDP,,British Columbia,F,01,45,89354,3
Steven,Blaney,Bellechasse—Les Etchemins—Lévis,Conservative,Hon.,Quebec,M,00,10,35389,8781
Kelly,Block,Carlton Trail—Eagle Creek,Conservative,,Saskatchewan,F,04,11,59156,8781
Randy,Boissonnault,Edmonton Centre,Liberal,,Alberta,M,08,12,89147,4
Mike,Bossio,Hastings—Lennox and Addington,Liberal,,Ontario,M,10,08,88786,4
Sylvie,Boucher,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Conservative,,Quebec,F,02,21,35320,8781
Michel,Boudrias,Terrebonne,Bloc Québécois,,Quebec,M,00,42,88651,6
Alexandre,Boulerice,Rosemont—La Petite-Patrie,NDP,,Quebec,M,03,42,58775,3
Marjolaine,Boutin-Sweet,Hochelaga,NDP,,Quebec,F,03,35,71395,3
John,Brassard,Barrie—Innisfil,Conservative,,Ontario,M,03,30,88674,8781
Bob,Bratina,Hamilton East—Stoney Creek,Liberal,,Ontario,M,10,09,88775,4
Pierre,Breton,Shefford,Liberal,,Quebec,M,10,10,58707,4
Scott,Brison,Kings—Hants,Liberal,Hon.,Nova Scotia,M,07,24,74,4
Ruth Ellen,Brosseau,Berthier—Maskinongé,NDP,,Quebec,F,03,41,71357,3
Gordon,Brown,Leeds—Grenville—Thousand Islands and Rideau Lakes,Conservative,,Ontario,M,03,20,25483,8781
Celina,Caesar-Chavannes,Whitby,Liberal,,Ontario,F,09,18,86786,4
Blaine,Calkins,Red Deer—Lacombe,Conservative,,Alberta,M,02,11,35897,8781
Richard,Cannings,South Okanagan—West Kootenay,NDP,,British Columbia,M,01,36,89327,3
Guy,Caron,Rimouski-Neigette—Témiscouata—Les Basques,NDP,,Quebec,M,02,38,23915,3
Jim,Carr,Winnipeg South Centre,Liberal,Hon.,Manitoba,M,08,17,89059,4
Colin,Carrie,Oshawa,Conservative,,Ontario,M,03,15,25486,8781
Bill,Casey,Cumberland—Colchester,Liberal,,Nova Scotia,M,08,02,51,4
Sean,Casey,Charlottetown,Liberal,,Prince Edward Island,M,09,29,71270,4
Bardish,Chagger,Waterloo,Liberal,Hon.,Ontario,F,07,18,89000,4
François-Philippe,Champagne,Saint-Maurice—Champlain,Liberal,,Quebec,M,09,24,88633,4
Arnold,Chan,Scarborough—Agincourt,Liberal,,Ontario,M,09,09,86249,4
Shaun,Chen,Scarborough North,Liberal,,Ontario,M,10,11,88953,4
Michael,Chong,Wellington—Halton Hills,Conservative,Hon.,Ontario,M,00,09,25488,8781
François,Choquette,Drummond,NDP,,Quebec,M,02,45,35351,3
David,Christopherson,Hamilton Centre,NDP,,Ontario,M,04,39,25489,3
Alupa,Clarke,Beauport—Limoilou,Conservative,,Quebec,M,03,11,88404,8781
Tony,Clement,Parry Sound—Muskoka,Conservative,Hon.,Ontario,M,04,15,15975,8781
Michael,Cooper,St. Albert—Edmonton,Conservative,,Alberta,M,01,18,89219,8781
Serge,Cormier,Acadie—Bathurst,Liberal,,New Brunswick,M,09,15,88350,4
Nathan,Cullen,Skeena—Bulkley Valley,NDP,,British Columbia,M,04,44,25493,3
Rodger,Cuzner,Cape Breton—Canso,Liberal,,Nova Scotia,M,08,14,1804,4
Julie,Dabrusin,Toronto—Danforth,Liberal,,Ontario,F,10,12,88994,4
Pam,Damoff,Oakville North—Burlington,Liberal,,Ontario,F,10,14,88884,4
Don,Davies,Vancouver Kingsway,NDP,,British Columbia,M,04,42,59325,3
Matt,DeCourcey,Fredericton,Liberal,,New Brunswick,M,10,15,88355,4
Gérard,Deltell,Louis-Saint-Laurent,Conservative,,Quebec,M,04,17,88535,8781
Sukh,Dhaliwal,Surrey—Newton,Liberal,,British Columbia,M,08,44,31098,4
Anju,Dhillon,Dorval—Lachine—LaSalle,Liberal,,Quebec,F,09,11,88453,4
Nicola,Di Iorio,Saint-Léonard—Saint-Michel,Liberal,,Quebec,M,10,16,88627,4
Stéphane,Dion,Saint-Laurent,Liberal,Hon.,Quebec,M,07,15,460,4
Kerry,Diotte,Edmonton Griesbach,Conservative,,Alberta,M,01,21,89150,8781
Todd,Doherty,Cariboo—Prince George,Conservative,,British Columbia,M,03,09,89249,8781
Fin,Donnelly,Port Moody—Coquitlam,NDP,,British Columbia,M,04,45,63592,3
Earl,Dreeshen,Red Deer—Mountain View,Conservative,,Alberta,M,02,17,59226,8781
Francis,Drouin,Glengarry—Prescott—Russell,Liberal,,Ontario,M,10,17,88756,4
Matthew,Dubé,Beloeil—Chambly,NDP,,Quebec,M,03,38,71368,3
Emmanuel,Dubourg,Bourassa,Liberal,,Quebec,M,08,29,84660,4
Jean-Yves,Duclos,Québec,Liberal,Hon.,Quebec,M,08,26,89408,4
Terry,Duguid,Winnipeg South,Liberal,,Manitoba,M,09,27,31119,4
Kirsty,Duncan,Etobicoke North,Liberal,Hon.,Ontario,F,08,24,58877,4
Linda,Duncan,Edmonton Strathcona,NDP,,Alberta,F,04,38,35873,3
Pierre-Luc,Dusseault,Sherbrooke,NDP,,Quebec,M,02,42,71553,3
Scott,Duvall,Hamilton Mountain,NDP,,Ontario,M,02,33,88780,3
Julie,Dzerowicz,Davenport,Liberal,,Ontario,F,10,18,88721,4
Wayne,Easter,Malpeque,Liberal,Hon.,Prince Edward Island,M,07,42,43,4
Jim,Eglinski,Yellowhead,Conservative,,Alberta,M,01,14,48292,8781
Ali,Ehsassi,Willowdale,Liberal,,Ontario,M,10,20,89010,4
Fayçal,El-Khoury,Laval—Les Îles,Liberal,,Quebec,M,10,22,88515,4
Neil,Ellis,Bay of Quinte,Liberal,,Ontario,M,10,23,88683,4
Nathaniel,Erskine-Smith,Beaches—East York,Liberal,,Ontario,M,10,24,88687,4
Mark,Eyking,Sydney—Victoria,Liberal,Hon.,Nova Scotia,M,09,08,1806,4
Doug,Eyolfson,Charleswood—St. James—Assiniboia—Headingley,Liberal,,Manitoba,M,10,26,89027,4
Ted,Falk,Provencher,Conservative,,Manitoba,M,01,08,84672,8781
Ed,Fast,Abbotsford,Conservative,Hon.,British Columbia,M,04,29,35904,8781
Greg,Fergus,Hull—Aylmer,Liberal,,Quebec,M,08,36,88478,4
Andy,Fillmore,Halifax,Liberal,,Nova Scotia,M,10,27,88325,4
Diane,Finley,Haldimand—Norfolk,Conservative,Hon.,Ontario,F,04,06,25501,8781
Pat,Finnigan,Miramichi—Grand Lake,Liberal,,New Brunswick,M,10,28,88360,4
Darren,Fisher,Dartmouth—Cole Harbour,Liberal,,Nova Scotia,M,10,29,88323,4
Peter,Fonseca,Mississauga East—Cooksville,Liberal,,Ontario,M,10,30,71692,4
Judy,Foote,Bonavista—Burin—Trinity,Liberal,Hon.,Newfoundland and Labrador,F,07,21,58519,4
Rhéal,Fortin,Rivière-du-Nord,Bloc Québécois,,Quebec,M,00,36,88605,6
Peter,Fragiskatos,London North Centre,Liberal,,Ontario,M,10,32,88827,4
Colin,Fraser,West Nova,Liberal,,Nova Scotia,M,10,33,88346,4
Sean,Fraser,Central Nova,Liberal,,Nova Scotia,M,10,34,88316,4
Chrystia,Freeland,University—Rosedale,Liberal,Hon.,Ontario,F,07,36,84665,4
Hedy,Fry,Vancouver Centre,Liberal,Hon.,British Columbia,F,08,27,1589,4
Stephen,Fuhr,Kelowna—Lake Country,Liberal,,British Columbia,M,10,35,89279,4
Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Conservative,,Ontario,F,03,06,1809,8781
Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Liberal,Hon.,Quebec,M,08,23,10524,4
Randall,Garrison,Esquimalt—Saanich—Sooke,NDP,,British Columbia,M,03,33,71995,3
Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative,,Quebec,M,02,24,63908,8781
Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Conservative,,Alberta,M,01,22,89226,8781
Mark,Gerretsen,Kingston and the Islands,Liberal,,Ontario,M,10,36,88802,4
Marilène,Gill,Manicouagan,Bloc Québécois,,Quebec,F,00,41,88538,6
Marilyn,Gladu,Sarnia—Lambton,Conservative,,Ontario,F,03,26,88938,8781
Joël,Godin,Portneuf—Jacques-Cartier,Conservative,,Quebec,M,01,26,89407,8781
Pam,Goldsmith-Jones,West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,,British Columbia,F,09,14,89370,4
Ralph,Goodale,Regina—Wascana,Liberal,Hon.,Saskatchewan,M,07,11,1265,4
Karina,Gould,Burlington,Liberal,,Ontario,F,08,32,88715,4
Jacques,Gourde,Lévis—Lotbinière,Conservative,,Quebec,M,02,26,35397,8781
David de Burgh,Graham,Laurentides—Labelle,Liberal,,Quebec,M,10,38,88504,4
Raj,Grewal,Brampton East,Liberal,,Ontario,M,10,39,88694,4
Patty,Hajdu,Thunder Bay—Superior North,Liberal,Hon.,Ontario,F,08,15,88984,4
Cheryl,Hardcastle,Windsor—Tecumseh,NDP,,Ontario,F,01,41,89012,3
Rachael,Harder,Lethbridge,Conservative,,Alberta,F,01,24,89200,8781
Ken,Hardie,Fleetwood—Port Kells,Liberal,,British Columbia,M,10,40,89274,4
T.J.,Harvey,Tobique—Mactaquac,Liberal,,New Brunswick,M,10,41,88370,4
Kent,Hehr,Calgary Centre,Liberal,Hon.,Alberta,M,07,05,89111,4
Randy,Hoback,Prince Albert,Conservative,,Saskatchewan,M,02,29,59148,8781
Mark,Holland,Ajax,Liberal,,Ontario,M,09,33,25508,4
Anthony,Housefather,Mount Royal,Liberal,,Quebec,M,10,42,88558,4
Carol,Hughes,Algoma—Manitoulin—Kapuskasing,NDP,,Ontario,F,01,47,31289,3
Ahmed,Hussen,York South—Weston,Liberal,,Ontario,M,10,44,89020,4
Gudie,Hutchings,Long Range Mountains,Liberal,,Newfoundland and Labrador,F,09,38,88292,4
Angelo,Iacono,Alfred-Pellan,Liberal,,Quebec,M,10,45,71337,4
Matt,Jeneroux,Edmonton Riverbend,Conservative,,Alberta,M,01,23,89167,8781
Gord,Johns,Courtenay—Alberni,NDP,,British Columbia,M,01,38,89263,3
Georgina,Jolibois,Desnethé—Missinippi—Churchill River,NDP,,Saskatchewan,F,01,44,89065,3
Mélanie,Joly,Ahuntsic-Cartierville,Liberal,Hon.,Quebec,F,07,12,88384,4
Yvonne,Jones,Labrador,Liberal,,Newfoundland and Labrador,F,08,39,13218,4
Bernadette,Jordan,South Shore—St. Margarets,Liberal,,Nova Scotia,F,10,47,88340,4
Majid,Jowhari,Richmond Hill,Liberal,,Ontario,M,11,00,88929,4
Peter,Julian,New Westminster—Burnaby,NDP,,British Columbia,M,03,45,16399,3
Darshan Singh,Kang,Calgary Skyview,Liberal,,Alberta,M,11,01,89144,4
Pat,Kelly,Calgary Rocky Ridge,Conservative,,Alberta,M,01,27,89130,8781
Peter,Kent,Thornhill,Conservative,Hon.,Ontario,M,04,24,35699,8781
Iqra,Khalid,Mississauga—Erin Mills,Liberal,,Ontario,F,11,02,88849,4
Kamal,Khera,Brampton West,Liberal,,Ontario,F,08,09,88705,4
Robert,Kitchen,Souris—Moose Mountain,Conservative,,Saskatchewan,M,01,28,89095,8781
Tom,Kmiec,Calgary Shepard,Conservative,,Alberta,M,01,29,89136,8781
Jenny,Kwan,Vancouver East,NDP,,British Columbia,F,03,44,89346,3
Mike,Lake,Edmonton—Wetaskiwin,Conservative,Hon.,Alberta,M,02,05,35857,8781
David,Lametti,LaSalle—Émard—Verdun,Liberal,,Quebec,M,08,38,88501,4
Kevin,Lamoureux,Winnipeg North,Liberal,,Manitoba,M,09,20,30552,4
