name,row,column
FloorPlanEmptySeat,0,0
Separator,0,7
Separator,0,13
FloorPlanEmptySeat,0,16
Separator,0,19
Separator,0,25
Separator,0,31
Separator,0,37
Separator,0,43
FloorPlanEmptySeat,0,44
Separator,0,46
FloorPlanEmptySeat,1,0
FloorPlanNonSeat,1,1
Separator,1,7
FloorPlanEmptySeat,1,10
Separator,1,13
FloorPlanEmptySeat,1,16
Separator,1,19
Separator,1,25
Separator,1,31
Separator,1,37
Separator,1,43
Separator,1,46
FloorPlanNonSeat,2,1
FloorPlanNonSeat,2,4
Separator,2,7
FloorPlanNonSeat,2,10
Separator,2,13
FloorPlanNonSeat,2,16
Separator,2,19
FloorPlanNonSeat,2,22
Separator,2,25
FloorPlanNonSeat,2,28
Separator,2,31
FloorPlanNonSeat,2,34
Separator,2,37
FloorPlanNonSeat,2,40
Separator,2,43
Separator,2,46
FloorPlanNonSeat,3,1
FloorPlanNonSeat,3,4
Separator,3,7
FloorPlanNonSeat,3,10
Separator,3,13
FloorPlanNonSeat,3,16
Separator,3,19
FloorPlanNonSeat,3,22
Separator,3,25
FloorPlanNonSeat,3,28
Separator,3,31
FloorPlanNonSeat,3,34
Separator,3,37
FloorPlanNonSeat,3,40
Separator,3,43
Separator,3,46
FloorPlanNonSeat,4,0
FloorPlanNonSeat,4,1
FloorPlanNonSeat,4,2
FloorPlanNonSeat,4,3
FloorPlanNonSeat,4,4
Separator,4,7
FloorPlanNonSeat,4,10
Separator,4,13
FloorPlanNonSeat,4,16
Separator,4,19
FloorPlanNonSeat,4,22
Separator,4,25
FloorPlanNonSeat,4,28
Separator,4,31
FloorPlanNonSeat,4,34
Separator,4,37
FloorPlanNonSeat,4,40
Separator,4,43
Separator,4,46
Separator,5,0
FloorPlanNonSeat,7,0
FloorPlanNonSeat,7,1
FloorPlanNonSeat,7,2
FloorPlanNonSeat,7,3
FloorPlanNonSeat,7,4
Separator,7,7
FloorPlanNonSeat,7,10
Separator,7,13
FloorPlanNonSeat,7,16
Separator,7,19
FloorPlanNonSeat,7,22
Separator,7,25
FloorPlanNonSeat,7,28
Separator,7,31
FloorPlanNonSeat,7,34
Separator,7,37
FloorPlanNonSeat,7,40
Separator,7,43
Separator,7,46
FloorPlanNonSeat,8,0
FloorPlanNonSeat,8,1
FloorPlanNonSeat,8,4
Separator,8,7
FloorPlanNonSeat,8,10
Separator,8,13
FloorPlanNonSeat,8,16
Separator,8,19
FloorPlanNonSeat,8,22
Separator,8,25
FloorPlanNonSeat,8,28
Separator,8,31
FloorPlanNonSeat,8,34
Separator,8,37
FloorPlanNonSeat,8,40
Separator,8,43
Separator,8,46
FloorPlanNonSeat,9,0
FloorPlanNonSeat,9,1
FloorPlanNonSeat,9,4
Separator,9,7
FloorPlanNonSeat,9,10
Separator,9,13
FloorPlanNonSeat,9,16
Separator,9,19
FloorPlanNonSeat,9,22
Separator,9,25
FloorPlanNonSeat,9,28
Separator,9,31
FloorPlanNonSeat,9,34
Separator,9,37
FloorPlanNonSeat,9,40
Separator,9,43
Separator,9,46
FloorPlanNonSeat,10,0
FloorPlanNonSeat,10,1
Separator,10,7
Separator,10,13
Separator,10,19
Separator,10,25
Separator,10,31
Separator,10,37
Separator,10,43
Separator,10,46
Separator,11,7
Separator,11,13
Separator,11,19
Separator,11,25
Separator,11,31
Separator,11,37
Separator,11,43
Separator,11,46